,word,pos,neg
0,절대,42.0,362.0
1,비추,35.0,337.0
2,반품,35.0,149.0
3,교환,125.0,179.0
4,식은땀,0.0,0.0
5,불안정,5.0,15.0
6,식겁,0.0,4.0
7,금지,4.0,0.0
8,열받,3.0,5.0
9,별로,155.0,589.0
10,팔지마,0.0,0.0
11,개빡침,0.0,4.0
12,개화남,0.0,0.0
13,이따위,0.0,8.0
14,불량,449.0,875.0
15,절대,42.0,362.0
16,마세요,0.0,0.0
17,가품,31.0,41.0
18,욕,16.0,16.0
19,불행,0.0,0.0
20,아까워,0.0,0.0
21,아깝,4.0,0.0
22,문제,248.0,40.0
23,짜증,4.0,48.0
24,황당,4.0,24.0
25,쓰레기,6.0,358.0
26,걱정,134.0,6.0
27,실망,18.0,86.0
28,힘들,8.0,8.0
29,심각,2.0,2.0
30,찝찝,4.0,8.0
31,사기꾼,0.0,20.0
32,의심,10.0,2.0
33,무서,12.0,16.0
34,맙시다,0.0,0.0
35,중국산,108.0,80.0
36,사고,135.0,37.0
37,약해,6.0,10.0
38,나쁘,536.0,144.0
39,화나,0.0,0.0
40,화났,0.0,0.0
41,화납,0.0,0.0
42,열받,3.0,5.0
43,참다,0.0,4.0
44,부실,17.0,19.0
45,스트레스,16.0,16.0
46,불쾌,2.0,6.0
47,최악,13.0,547.0
48,불편,127.0,49.0
49,후회,277.0,31.0
50,빡치,0.0,4.0
51,역겨운,1.0,3.0
52,안,2566.0,478.0
53,개고생,0.0,0.0
54,껍데기,0.0,4.0
55,비싸,341.0,43.0
56,비싼,461.0,51.0
57,대체,204.0,60.0
58,포기,0.0,0.0
59,못,16.0,24.0
60,흠집,15.0,13.0
61,어쩔,9.0,11.0
62,어쩔뻔,0.0,0.0
63,냄새,977.0,519.0
64,방치,0.0,0.0
65,아쉬,97.0,51.0
66,아쉽,56.0,36.0
67,싫어,0.0,0.0
68,미친,85.0,11.0
69,미치,0.0,0.0
70,아니,158.0,290.0
71,아닙니,0.0,0.0
72,아닌것같,0.0,0.0
73,엉망,1.0,19.0
74,비추천,14.0,82.0
75,부족,26.0,2.0
76,낚이,0.0,0.0
77,낚였,0.0,4.0
78,낚인,0.0,0.0
79,속터,0.0,12.0
80,속은,0.0,0.0
81,속았,0.0,4.0
82,버려,0.0,4.0
83,버릴,3.0,1.0
84,못쓰,4.0,4.0
85,못씁,0.0,0.0
86,짝퉁,4.0,60.0
87,불안,34.0,42.0
88,시끄,49.0,23.0
89,보상,0.0,0.0
90,분노,0.0,0.0
91,암걸,0.0,0.0
92,안돼,5.0,11.0
93,안되,28.0,52.0
94,안됩,6.0,14.0
95,무서워,4.0,8.0
96,가짜,1.0,27.0
97,심해,0.0,0.0
98,험악,0.0,0.0
99,지저분,23.0,13.0
100,중고,128.0,172.0
101,똥망,0.0,0.0
102,독해,0.0,0.0
103,심하,6.0,6.0
104,왜,608.0,276.0
105,무시,0.0,0.0
106,재고,15.0,9.0
107,도저히,0.0,8.0
108,바보,0.0,0.0
