word,pos,neg,rat,sign
가볍,32108.87,13479.13,2.38,1
가성비,123880.04,45950.61,2.7,1
가짜,1296.68,3546.39,2.73,-1
가품,621.76,2396,3.85,-100
간단,17885.07,7655.81,2.34,1
간편,12815.31,3187.32,4.02,1
감사,35383.46,7233.84,4.89,100
갑자기,11766.67,26035.23,2.21,-1
강추,17584.6,2597.38,6.77,100
걱정,31620.74,11836.88,2.67,1
겨우,3717.65,7927.04,2.13,-1
견고,9959.07,3609.92,2.76,1
결국,10785.03,22674.04,2.1,-1
고급,13822.35,4481.42,3.08,1
고민,37274.67,16650.77,2.24,1
교환,30927.13,86860.87,2.81,-1
굳,18611.15,8002.24,2.33,1
굿,43206.96,8953.31,4.83,100
귀여,9845.25,3707.44,2.66,1
귀엽,9695.33,3580.67,2.71,1
귀찮,17741.43,35866.77,2.02,-1
금지,625.36,1975.81,3.16,-1
급해,5364.83,13484.81,2.51,-1
깔끔,68711.02,20514.69,3.35,1
깨끗,10118.58,4877.3,2.07,1
난리,2078.72,5499.71,2.65,-1
냄새 너무,207,1367.6,6.61,-1
단단,5523.69,2065.29,2.67,1
답변,3176.29,9870.83,3.11,-1
대박,6175,1395.29,4.43,1
도저히,1414.91,4140.51,2.93,-1
됐다 안,,,,-1
렉 걸,,,,-1
마세요,7203.38,57561.38,7.99,-1
만족,190141.65,57694.89,3.3,100
만족입니다,,,,1
만족합니다,,,,1
맙시다,223.16,1425.16,6.39,-1
먹통,3449.8,15769.53,4.57,-100
못 쓰,5561.96,15854.43,2.85,-1
무난,22031.27,10706.77,2.06,1
무료,6996.45,2710.66,2.58,1
무서워,1313.47,3655.02,2.78,-1
무슨,6702.67,20974.36,3.13,-1
문의,8047.28,21819.26,2.71,-1
문제네요,,,,-1
문제 없이,9181.84,3315.06,2.77,1
미치,1375.48,3657.92,2.66,-1
미친,1571.91,3164.65,2.01,-1
믿음,2840.74,1160.91,2.45,1
반품,24067.73,86125.35,3.58,-100
방치,1141.19,3017.23,2.64,-1
버려,7419.97,20642.95,2.78,-1
버렸,7524.04,31005.27,4.12,-1
버리고,4274.99,13913.6,3.25,-1
버린,1581.41,5436.15,3.44,-1
버릴,2862.13,7549.41,2.64,-1
보상,610.37,2227.61,3.65,-1
복구,1708.76,4857.79,2.84,-1
부드,29945.61,14696.28,2.04,1
부서,3799.8,8528.64,2.24,-1
부셔,1174.82,4094.53,3.49,-1
불가,8270.52,19279.93,2.33,-1
불꽃,661.38,2309.73,3.49,-1
불량,37934.72,111657.05,2.94,-1
불만,,,,-1
불만족,,,,-100
불안정,3048.33,6265.48,2.06,-1
불쾌,1081.49,3657.33,3.38,-100
비추,16505.06,45246.19,2.74,-100
비추천,2856.24,7595.91,2.66,-1
빠르,79731.4,26117.73,3.05,1
빠른,36309.29,17276.03,2.1,1
빡쳐,,,,-100
빡치,584.93,2687.07,4.59,-100
빵빵,7301.97,2260.59,3.23,1
뽑기,11551.35,26151.59,2.26,-1
삐걱,2534.93,7412.84,2.92,-1
사지,6719,55580.55,8.27,-1
사지 마,,,,-100
선물,13365.15,4931.72,2.71,1
속았,152.68,1041.61,6.82,-100
속 터,642.98,1665.62,2.59,-1
손상,2817.1,5886.79,2.09,-1
수리,3370.63,8050.96,2.39,-1
쉬워,9669.6,4366.64,2.21,1
쉽고,11197.43,3457.55,3.24,1
스트레스,3077.81,8383.1,2.72,-1
실망,10114.75,26647.46,2.63,-1
심각,2130.44,5794.02,2.72,-1
심하네,3174.91,8399.57,2.65,-1
심합,2673.88,7498.78,2.8,-1
싼 값,3023.16,6520.45,2.16,-1
싼 맛,7873.85,15875.02,2.02,-1
쓰레기,2267.61,28052.86,12.37,-100
쓸게요,12401.27,5371.26,2.31,1
아까워,1593.93,7821.88,4.91,-100
아깝,3010.22,13814.57,4.59,-100
아닌 것 같,549.28,1152.84,2.1,-1
아예,9445.06,27395.96,2.9,-1
아주,83288.31,33350.56,2.5,1
안 좋,,,,-100
안 돼,,,,-1
안돼,25282.85,60068.26,2.38,-1
안 되,,,,-1
안되,81244.12,187868.39,2.31,-1
안된,,,,-1
안 된,7540.88,16940.26,2.25,-1
안됨,,,,-1
안 됨,12227.9,45404.68,3.71,-1
안됩,,,,-1
안 됩,9101.93,30802.49,3.38,-1
안심,6456.47,1533.86,4.21,1
안전,28594.43,11586.65,2.47,1
엉망,2065.72,6811.56,3.3,-100
에러,3836.67,7978.58,2.08,-1
연기,224.11,1310.12,5.85,-1
열받,,,,-100
열 받,1697.05,8320.97,4.9,-100
예뻐,17507.8,7284.23,2.4,1
예쁘고,17723.61,6967.49,2.54,1
오류,7754.97,16435.11,2.12,-1
완벽,6874.46,2314.38,2.97,1
왜,30033.62,61987.66,2.06,-1
우수,4184.44,1694.97,2.47,1
웬만,4321.98,9531.88,2.21,-1
유용,9093.62,2456.19,3.7,1
의심,3461.19,9303.82,2.69,-1
이따위,195.84,3011.04,15.38,-100
이런,31166.43,64113.69,2.06,-1
이뻐,16657.46,6710.8,2.48,1
이쁘,35767.17,15602.58,2.29,1
이쁩,4393.25,1836.14,2.39,1
잘 됩,,,,1
잘 되,,,,1
잘 돼,,,,1
잘못,17333.97,34991.22,2.02,-1
장난,9492.05,19713.21,2.08,-1
적당,39111.72,15837.35,2.47,1
